x,y,width
0.94622232,2.1,0.465
0.94204038,2.1,0.465
0.93785844,2.1,0.465
0.9336765,2.1,0.465
0.92949453,2.1,0.465
0.92531259,2.1,0.465
0.92113065,2.1,0.465
0.91694871,2.1,0.465
0.91276677,2.1,0.465
0.9085848,2.1,0.465
0.90440286,2.1,0.465
0.90022092,2.1,0.465
0.89603898,2.1,0.465
0.89185701,2.1,0.465
0.88767507,2.1,0.465
0.88349313,2.1,0.465
0.87931119,2.1,0.465
0.87512925,2.1,0.465
0.87094728,2.1,0.465
0.86676534,2.1,0.465
0.8625834,2.1,0.465
0.85840146,2.1,0.465
0.85421949,2.1,0.465
0.85003755,2.1,0.465
0.84585561,2.1,0.465
0.84167367,2.1,0.465
0.83749173,2.1,0.465
0.83330976,2.1,0.465
0.82912782,2.1,0.465
0.82494588,2.1,0.465
0.82076394,2.1,0.465
0.81658197,2.1,0.465
0.81240003,2.1,0.465
0.80821809,2.1,0.465
0.80403615,2.1,0.465
0.79985421,2.1,0.465
0.79567224,2.1,0.465
0.7914903,2.1,0.465
0.78730836,2.1,0.465
0.78312642,2.1,0.465
0.77894445,2.1,0.465
0.77476251,2.1,0.465
0.77058057,2.1,0.465
0.76639863,2.1,0.465
0.76221669,2.1,0.465
0.75803472,2.1,0.465
0.75385278,2.1,0.465
0.74967084,2.1,0.465
0.7454889,2.1,0.465
0.74130693,2.1,0.465
0.73712499,2.1,0.465
0.73294305,2.1,0.465
0.72876111,2.1,0.465
0.72457917,2.1,0.465
0.7203972,2.1,0.465
0.71621526,2.1,0.465
0.71203332,2.1,0.465
0.70785138,2.1,0.465
0.70366941,2.1,0.465
0.69948747,2.1,0.465
0.69530553,2.1,0.465
0.69112359,2.1,0.465
0.68694162,2.1,0.465
0.68275968,2.1,0.465
0.67857774,2.1,0.465
0.6743958,2.1,0.465
0.67021386,2.1,0.465
0.66603189,2.1,0.465
0.66184995,2.1,0.465
0.65766801,2.1,0.465
0.65348607,2.1,0.465
0.6493041,2.1,0.465
0.64512216,2.1,0.465
0.64094022,2.1,0.465
0.63675828,2.1,0.465
0.63257634,2.1,0.465
0.62839437,2.1,0.465
0.62421243,2.1,0.465
0.62003049,2.1,0.465
0.61584855,2.1,0.465
0.61166658,2.1,0.465
0.60748464,2.1,0.465
0.6033027,2.1,0.465
0.59912076,2.09999871,0.465
0.59493906,2.09995731,0.465
0.59075832,2.09985762,0.465
0.58657938,2.09969967,0.465
0.58240308,2.09948346,0.465
0.57823017,2.09920908,0.465
0.57406149,2.09887656,0.465
0.56989788,2.09848596,0.465
0.56574009,2.09803734,0.465
0.56158896,2.09753082,0.465
0.5574453,2.09696649,0.465
0.55330992,2.09634444,0.465
0.5491836,2.09566482,0.465
0.54506715,2.09492775,0.465
0.54096138,2.09413338,0.465
0.53686707,2.09328183,0.465
0.53278506,2.09237331,0.465
0.52871607,2.09140797,0.465
0.52466097,2.09038599,0.465
0.52062048,2.08930761,0.465
0.51659544,2.08817301,0.465
0.51258657,2.0869824,0.465
0.50859471,2.08573602,0.465
0.50462061,2.08443414,0.465
0.50066505,2.08307697,0.465
0.49672878,2.08166481,0.465
0.49281261,2.0801979,0.465
0.48891723,2.07867654,0.465
0.48504345,2.07710106,0.465
0.48119199,2.0754717,0.465
0.47736363,2.07378882,0.465
0.47355912,2.07205275,0.465
0.46977915,2.07026382,0.465
0.4660245,2.06842236,0.465
0.46229586,2.06652876,0.465
0.45859401,2.06458335,0.465
0.45491961,2.06258652,0.465
0.45127344,2.06053869,0.465
0.44765613,2.05844022,0.465
0.44406843,2.05629153,0.465
0.44051106,2.05409304,0.465
0.43698465,2.05184517,0.465
0.43348992,2.04954837,0.465
0.43002756,2.04720309,0.465
0.4265982,2.04480975,0.465
0.42320256,2.04236886,0.465
0.41984127,2.03988087,0.465
0.41651499,2.03734626,0.465
0.41322435,2.03476554,0.465
0.40997001,2.03213919,0.465
0.4067526,2.02946775,0.465
0.40357275,2.0267517,0.465
0.40043106,2.02399161,0.465
0.39732813,2.02118796,0.465
0.39426462,2.01834135,0.465
0.39124107,2.01545232,0.465
0.38825808,2.01252141,0.465
0.38531622,2.00954922,0.465
0.38241609,2.00653632,0.465
0.37955826,2.00348325,0.465
0.37674324,2.00039067,0.465
0.37397163,1.99725915,0.465
0.37124391,1.99408929,0.465
0.36856065,1.99088172,0.465
0.36592236,1.98763704,0.465
0.36332958,1.98435591,0.465
0.36078276,1.98103896,0.465
0.35828244,1.97768685,0.465
0.35582907,1.97430018,0.465
0.35342316,1.97087967,0.465
0.35106516,1.96742595,0.465
0.34875552,1.96393968,0.465
0.34649472,1.96042155,0.465
0.34428318,1.95687228,0.465
0.34212132,1.9532925,0.465
0.34000959,1.94968293,0.465
0.33794835,1.94604429,0.465
0.33593805,1.94237727,0.465
0.33397905,1.93868259,0.465
0.33207174,1.93496094,0.465
0.33021651,1.93121307,0.465
0.32841369,1.9274397,0.465
0.32666367,1.92364158,0.465
0.32496672,1.91981943,0.465
0.32332323,1.915974,0.465
0.32173353,1.91210604,0.465
0.32019786,1.9082163,0.465
0.31871658,1.9043055,0.465
0.31728996,1.90037445,0.465
0.31591827,1.8964239,0.465
0.31460178,1.89245463,0.465
0.31334076,1.88846736,0.465
0.31213542,1.88446293,0.465
0.31098603,1.88044206,0.465
0.3098928,1.87640556,0.465
0.30885594,1.87235424,0.465
0.30787566,1.86828885,0.465
0.30695214,1.86421017,0.465
0.30608556,1.86011904,0.465
0.3052761,1.85601621,0.465
0.30452388,1.85190252,0.465
0.30382911,1.84777872,0.465
0.30319188,1.84364562,0.465
0.30261234,1.83950409,0.465
0.30209055,1.83535485,0.465
0.30162669,1.83119874,0.465
0.30122079,1.82703657,0.465
0.30087294,1.82286915,0.465
0.3005832,1.81869729,0.465
0.30035169,1.81452177,0.465
0.30017838,1.81034346,0.465
0.3000633,1.80616314,0.465
0.30000654,1.80198162,0.465
0.3,1.79779968,0.465
0.3,1.79361774,0.465
0.3,1.78943577,0.465
0.3,1.78525383,0.465
0.3,1.78107189,0.465
0.3,1.77688995,0.465
0.3,1.77270798,0.465
0.3,1.76852604,0.465
0.3,1.7643441,0.465
0.3,1.76016216,0.465
0.3,1.75598022,0.465
0.3,1.75179825,0.465
0.3,1.74761631,0.465
0.3,1.74343437,0.465
0.3,1.73925243,0.465
0.3,1.73507046,0.465
0.3,1.73088852,0.465
0.3,1.72670658,0.465
0.3,1.72252464,0.465
0.3,1.7183427,0.465
0.3,1.71416073,0.465
0.3,1.70997879,0.465
0.3,1.70579685,0.465
0.3,1.70161491,0.465
0.3,1.69743294,0.465
0.3,1.693251,0.465
0.3,1.68906906,0.465
0.3,1.68488712,0.465
0.3,1.68070518,0.465
0.3,1.67652321,0.465
0.3,1.67234127,0.465
0.3,1.66815933,0.465
0.3,1.66397739,0.465
0.3,1.65979542,0.465
0.3,1.65561348,0.465
0.3,1.65143154,0.465
0.3,1.6472496,0.465
0.3,1.64306766,0.465
0.3,1.63888569,0.465
0.3,1.63470375,0.465
0.3,1.63052181,0.465
0.3,1.62633987,0.465
0.3,1.6221579,0.465
0.3,1.61797596,0.465
0.3,1.61379402,0.465
0.3,1.60961208,0.465
0.3,1.60543011,0.465
0.3,1.60124817,0.465
0.3,1.59706623,0.465
0.3,1.59288429,0.465
0.3,1.58870235,0.465
0.3,1.58452038,0.465
0.3,1.58033844,0.465
0.3,1.5761565,0.465
0.3,1.57197456,0.465
0.3,1.56779259,0.465
0.3,1.56361065,0.465
0.3,1.55942871,0.465
0.3,1.55524677,0.465
0.3,1.55106483,0.465
0.3,1.54688286,0.465
0.3,1.54270092,0.465
0.3,1.53851898,0.465
0.3,1.53433704,0.465
0.3,1.53015507,0.465
0.3,1.52597313,0.465
0.3,1.52179119,0.465
0.3,1.51760925,0.465
0.3,1.51342731,0.465
0.3,1.50924534,0.465
0.3,1.5050634,0.465
0.3,1.50088146,0.465
0.3,1.49669952,0.465
0.3,1.49251755,0.465
0.3,1.48833561,0.465
0.3,1.48415367,0.465
0.3,1.47997173,0.465
0.3,1.47578979,0.465
0.3,1.47160782,0.465
0.3,1.46742588,0.465
0.3,1.46324394,0.465
0.3,1.459062,0.465
0.3,1.45488003,0.465
0.3,1.45069809,0.465
0.3,1.44651615,0.465
0.3,1.44233421,0.465
0.3,1.43815227,0.465
0.3,1.4339703,0.465
0.3,1.42978836,0.465
0.3,1.42560642,0.465
0.3,1.42142448,0.465
0.3,1.41724251,0.465
0.3,1.41306057,0.465
0.3,1.40887863,0.465
0.3,1.40469669,0.465
0.3,1.40051475,0.465
0.3,1.39633278,0.465
0.3,1.39215084,0.465
0.3,1.3879689,0.465
0.3,1.38378696,0.465
0.3,1.37960499,0.465
0.3,1.37542305,0.465
0.3,1.37124111,0.465
0.3,1.36705917,0.465
0.3,1.36287723,0.465
0.3,1.35869526,0.465
0.3,1.35451332,0.465
0.3,1.35033138,0.465
0.3,1.34614944,0.465
0.3,1.34196747,0.465
0.3,1.33778553,0.465
0.3,1.33360359,0.465
0.3,1.32942165,0.465
0.3,1.32523971,0.465
0.3,1.32105774,0.465
0.3,1.3168758,0.465
0.3,1.31269386,0.465
0.3,1.30851192,0.465
0.3,1.30432995,0.465
0.3,1.30014801,0.465
0.3,1.29596607,0.465
0.3,1.29178413,0.465
0.3,1.28760216,0.465
0.3,1.28342022,0.465
0.3,1.27923828,0.465
0.3,1.27505634,0.465
0.3,1.2708744,0.465
0.3,1.26669243,0.465
0.3,1.26251049,0.465
0.3,1.25832855,0.465
0.3,1.25414661,0.465
0.3,1.24996464,0.465
0.3,1.2457827,0.465
0.3,1.24160076,0.465
0.3,1.23741882,0.465
0.3,1.23323688,0.465
0.3,1.22905491,0.465
0.3,1.22487297,0.465
0.3,1.22069103,0.465
0.3,1.21650909,0.465
0.3,1.21232712,0.465
0.3,1.20814518,0.465
0.3,1.20396324,0.465
0.3,1.1997813,0.465
0.3,1.19559936,0.465
0.3,1.19141739,0.465
0.3,1.18723545,0.465
0.3,1.18305351,0.465
0.3,1.17887157,0.465
0.3,1.1746896,0.465
0.3,1.17050766,0.465
0.3,1.16632572,0.465
0.3,1.16214378,0.465
0.3,1.15796184,0.465
0.3,1.15377987,0.465
0.3,1.14959793,0.465
0.3,1.14541599,0.465
0.3,1.14123405,0.465
0.3,1.13705208,0.465
0.3,1.13287014,0.465
0.3,1.1286882,0.465
0.3,1.12450626,0.465
0.3,1.12032432,0.465
0.3,1.11614235,0.465
0.3,1.11196041,0.465
0.3,1.10777847,0.465
0.3,1.10359653,0.465
0.3,1.09941456,0.465
0.3,1.09523262,0.465
0.3,1.09105068,0.465
0.3,1.08686874,0.465
0.3,1.0826868,0.465
0.3,1.07850483,0.465
0.3,1.07432289,0.465
0.3,1.07014095,0.465
0.3,1.06595901,0.465
0.3,1.06177704,0.465
0.3,1.0575951,0.465
0.3,1.05341316,0.465
0.3,1.04923122,0.465
0.3,1.04504928,0.465
0.3,1.04086731,0.465
0.3,1.03668537,0.465
0.3,1.03250343,0.465
0.3,1.02832149,0.465
0.3,1.02413952,0.465
0.3,1.01995758,0.465
0.3,1.01577564,0.465
0.3,1.0115937,0.465
0.3,1.00741176,0.465
0.3,1.00322979,0.465
0.3,0.99904785,0.465
0.3,0.99486591,0.465
0.3,0.99068397,0.465
0.3,0.986502,0.465
0.3,0.98232006,0.465
0.3,0.97813812,0.465
0.3,0.97395618,0.465
0.3,0.96977421,0.465
0.3,0.96559227,0.465
0.3,0.96141033,0.465
0.3,0.95722839,0.465
0.3,0.95304645,0.465
0.3,0.94886448,0.465
0.3,0.94468254,0.465
0.3,0.9405006,0.465
0.3,0.93631866,0.465
0.3,0.93213669,0.465
0.3,0.92795475,0.465
0.3,0.92377281,0.465
0.3,0.91959087,0.465
0.3,0.91540893,0.465
0.3,0.91122696,0.465
0.3,0.90704502,0.465
0.3,0.90286308,0.465
0.3,0.89868114,0.465
0.3,0.89449917,0.465
0.3,0.89031723,0.465
0.3,0.88613529,0.465
0.3,0.88195335,0.465
0.3,0.87777141,0.465
0.3,0.87358944,0.465
0.3,0.8694075,0.465
0.3,0.86522556,0.465
0.3,0.86104362,0.465
0.3,0.85686165,0.465
0.3,0.85267971,0.465
0.3,0.84849777,0.465
0.3,0.84431583,0.465
0.3,0.84013389,0.465
0.3,0.83595192,0.465
0.3,0.83176998,0.465
0.3,0.82758804,0.465
