x,y,dx,dy
79.6629595,18.8775932,-0.9606673,-4.3962619
79.9446082,18.8177448,-0.9099705,-4.4070346
80.2269275,18.7611443,-0.8591531,-4.4172227
80.5098799,18.7077991,-0.8082216,-4.4268248
80.7934279,18.6577162,-0.757183,-4.4358397
81.077534,18.6109024,-0.7060439,-4.4442662
81.3621604,18.5673639,-0.6548111,-4.4521031
81.6472694,18.5271063,-0.6034915,-4.4593495
81.9328231,18.4901351,-0.5520918,-4.4660043
82.2187837,18.4564551,-0.5006189,-4.4720667
82.5051132,18.4260709,-0.4490796,-4.4775359
82.7917736,18.3989864,-0.3974807,-4.4824111
83.078727,18.3752053,-0.3458291,-4.4866917
83.3659353,18.3547307,-0.2941316,-4.4903771
83.6533603,18.3375653,-0.2423951,-4.4934669
83.9409639,18.3237114,-0.1906265,-4.4959606
84.2287081,18.3131709,-0.1388325,-4.4978579
84.5165545,18.305945,-0.0870202,-4.4991585
84.8044651,18.3020349,-0.0351963,-4.4998624
85.0924016,18.301441,0.0166323,-4.4999693
85.3803259,18.3041633,0.0684587,-4.4994792
85.6681997,18.3102016,0.1202759,-4.4983923
85.9559849,18.319555,0.1720773,-4.4967087
86.2436432,18.3322223,0.2238558,-4.4944286
86.5311366,18.3482018,0.2756046,-4.4915523
86.8184269,18.3674914,0.3273168,-4.4880802
87.1054759,18.3900886,0.3789857,-4.4840127
87.3922457,18.4159902,0.4306042,-4.4793504
87.6786981,18.4451929,0.4821657,-4.4740939
87.9647952,18.4776929,0.5336631,-4.4682439
88.250499,18.5134858,0.5850898,-4.4618012
88.5357716,18.5525668,0.6364389,-4.4547666
88.8205752,18.5949308,0.6877035,-4.4471411
89.104872,18.6405722,0.738877,-4.4389256
89.3886242,18.6894849,0.7899524,-4.4301214
89.6717943,18.7416624,0.840923,-4.4207294
89.9543447,18.7970977,0.891782,-4.410751
90.2362379,18.8557836,0.9425228,-4.4001876
90.5174364,18.9177123,0.9931386,-4.3890404
90.7979031,18.9828755,1.0436226,-4.377311
91.0776006,19.0512646,1.0939681,-4.365001
91.356492,19.1228705,1.1441686,-4.3521119
91.6345401,19.1976838,1.1942172,-4.3386456
91.9117082,19.2756944,1.2441075,-4.3246036
92.1879594,19.3568922,1.2938327,-4.309988
92.4632571,19.4412661,1.3433863,-4.2948007
92.7375647,19.5288052,1.3927617,-4.2790437
93.010846,19.6194978,1.4419523,-4.262719
93.2830646,19.7133317,1.4909516,-4.2458289
93.5541845,19.8102947,1.5397532,-4.2283756
93.8241696,19.9103739,1.5883505,-4.2103613
94.0929841,20.0135559,1.6367371,-4.1917886
94.3605925,20.119827,1.6849066,-4.1726598
94.6269591,20.2291733,1.7328526,-4.1529775
94.8920488,20.3415801,1.7805688,-4.1327442
95.1558262,20.4570325,1.8280487,-4.1119628
95.4182564,20.5755153,1.8752861,-4.0906359
95.6793046,20.6970128,1.9222748,-4.0687663
95.9389361,20.8215087,1.9690085,-4.0463571
96.1971166,20.9489867,2.015481,-4.023411
96.4538118,21.0794297,2.0616861,-3.9999313
96.7089876,21.2128205,2.1076178,-3.9759209
96.9626101,21.3491414,2.1532698,-3.9513832
97.2146458,21.4883743,2.1986362,-3.9263213
97.4650612,21.6305007,2.243711,-3.9007385
97.7142079,21.7729032,2.2114426,-3.9191226
97.9657877,21.9129581,2.1661582,-3.9443325
98.2189639,22.0501063,2.1205865,-3.9690191
98.4737028,22.1843295,2.0747335,-3.9931793
98.7299708,22.3156098,2.0286053,-4.0168098
98.9877337,22.4439299,1.9822079,-4.0399074
99.2469575,22.5692728,1.9355477,-4.0624691
99.5076076,22.6916219,1.8886306,-4.0844919
99.7696496,22.8109608,1.8414631,-4.1059729
